,AMM.,BOD,COD,DO,PH,TKN,WT
0,0.07,1.0,20.0,8.4,7.1,1.84,18.0
1,0.34,1.0,12.0,5.2,7.81,1.9,27.0
2,0.21,2.0,20.0,8.3,7.86,1.76,29.0
3,0.21,2.0,12.0,9.5,8.7,3.36,30.5
4,0.42,2.0,22.0,12.2,8.61,1.51,36.0
5,0.17,1.0,11.0,8.3,7.79,1.21,27.0
6,0.68,3.0,10.0,12.5,7.53,1.3,29.0
7,3.55,2.0,19.0,10.7,7.25,4.28,30.0
8,0.37,2.0,9.0,12.8,7.83,2.6,16.0
9,6.46,8.0,31.0,0.3,7.41,7.08,13.5
10,6.24,9.0,46.0,1.5,7.9,7.7,20.0
11,7.82,11.0,67.0,0.0,8.07,11.3,23.0
12,17.37,12.0,60.0,0.0,7.38,19.6,27.0
13,13.62,10.0,74.0,0.0,7.51,24.9,35.0
14,15.09,9.0,63.0,0.0,8.15,32.28,30.0
15,9.42,3.0,32.0,0.0,7.4,24.31,29.0
16,4.7,6.0,26.0,1.5,7.45,7.82,31.0
17,13.16,21.0,64.0,0.0,7.22,17.82,24.0
18,14.18,22.0,63.0,0.0,7.45,26.7,19.0
19,9.64,7.0,31.0,0.5,7.21,10.47,13.5
20,7.95,7.0,31.0,1.0,7.8,8.31,20.0
21,11.21,12.0,69.0,0.0,7.61,11.7,23.0
22,16.31,9.0,59.0,0.0,7.32,20.16,28.0
23,13.24,17.0,83.0,0.0,7.55,14.7,35.0
24,16.45,9.0,62.0,0.0,7.76,24.1,30.0
25,12.54,4.0,40.0,0.0,7.7,30.38,29.0
26,5.21,8.0,27.0,1.5,7.96,6.52,31.0
27,13.62,21.0,62.0,0.0,7.21,18.47,24.0
28,14.42,23.0,64.0,0.0,7.51,28.3,19.0
29,0.54,2.0,14.0,8.7,7.66,1.92,13.8
30,0.19,1.0,10.0,8.6,7.56,1.92,14.0
31,0.16,2.0,5.0,12.0,7.41,1.62,18.0
32,0.16,1.0,4.0,8.0,6.83,2.24,25.0
33,0.33,2.0,7.0,5.6,7.82,1.28,30.0
34,0.16,1.0,19.0,6.2,7.8,1.28,26.5
35,0.17,1.0,13.0,6.7,8.19,1.59,31.0
36,0.07,2.0,12.0,5.8,8.25,0.95,25.0
37,0.12,1.0,13.0,10.2,7.92,1.26,15.0
38,13.17,25.0,77.0,0.0,7.49,19.26,20.0
39,8.71,12.0,39.0,0.0,7.39,19.9,19.0
40,11.91,21.0,32.0,0.0,7.3,13.6,23.0
41,17.78,22.0,97.0,0.5,7.9,19.96,32.0
42,11.81,22.0,54.0,3.6,7.91,18.67,33.0
43,2.22,6.0,29.0,2.1,7.13,12.84,30.0
44,1.55,5.0,28.0,4.4,7.97,6.44,30.0
45,5.29,9.0,49.0,0.0,8.04,12.72,30.0
46,18.29,16.0,71.0,0.0,7.43,21.62,30.0
47,19.05,23.0,61.0,0.0,7.51,22.26,20.5
48,15.9,30.0,78.0,0.0,7.34,20.16,20.0
49,14.28,23.0,77.0,0.0,7.44,21.82,20.0
50,9.64,11.0,42.0,0.0,7.42,20.22,19.0
51,10.61,18.0,42.0,0.0,7.49,15.87,23.0
52,17.37,24.0,103.0,0.5,7.88,20.23,32.0
53,12.86,18.0,60.0,4.5,7.86,19.96,33.0
54,2.79,6.0,27.0,1.9,7.2,13.48,30.0
55,1.16,6.0,32.0,4.5,7.92,8.05,30.0
56,4.85,9.0,46.0,0.0,8.09,9.54,30.0
